PaymentType,MerchantReferenceId,MerchantOrderId,OriginalMerchantReferenceId,OriginalTransactionId,OriginalTransactionDate,PhonePeReferenceId,TransactionUTR,StoreId,StoreName,TerminalId,TerminalName,From,Instrument,CreationDate,TransactionDate,SettlementDate,BankReferenceNo,Amount,Fee,IGST,CGST,SGST
PAYMENT,TX1765325318287,MA251209476-MI1765325318287,,,,T2512100538528252860816,115396146938,Goa-MA251209476,Goa-MA251209476,2840309028-MB19A,2840309028-MB19A,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 05:38:52 AM,11-12-2025,AXNPN34554189917,165.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765335626434,MA251209452-MI1765335626435,,,,T2512100830408362653188,775626178302,Goa-MA251209452,Goa-MA251209452,2840303762-MB22A,2840303762-MB22A,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 08:30:46 AM,11-12-2025,AXNPN34554189917,165.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765328725569,MA251208301-MI1765328725569,,,,T2512100635396974600556,534498317964,Goa-MA251208301,Goa-MA251208301,2840303790-MB64A64,2840303790-MB64A64,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 06:35:39 AM,11-12-2025,AXNPN34554189917,45.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765337646213,PN251209308-MI1765337646213,,,,T2512100904240392540069,045796274755,Goa-PN251209308,Goa-PN251209308,2840303794-1A2,2840303794-1A2,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 09:04:26 AM,11-12-2025,AXNPN34554189917,75.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765351182326,VS251209491-MI1765351182326,,,,T2512101250134155412999,534492339660,Goa-VS251209491,Goa-VS251209491,2840305532-VSD21A,2840305532-VSD21A,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 12:50:13 PM,11-12-2025,AXNPN34554189917,36.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765331166566,MA251209283-MI1765331166566,,,,T2512100716295180976076,534498817825,Goa-MA251209283,Goa-MA251209283,2840303803-MB131A131,2840303803-MB131A131,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 07:16:29 AM,11-12-2025,AXNPN34554189917,25.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765354351564,VS251210240-MI1765354351565,,,,T2512101342413332212493,115413516361,Goa-VS251210240,Goa-VS251210240,2840304447-VSDEV39A,2840304447-VSDEV39A,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 01:42:41 PM,11-12-2025,AXNPN34554189917,48.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765354392155,MA251210378-MI1765354392155,,,,T2512101343209844409798,534448395904,Goa-MA251210378,Goa-MA251210378,2840304278-MBEV83A83,2840304278-MBEV83A83,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 01:43:21 PM,11-12-2025,AXNPN34554189917,10.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765356025124,PO251208358-MI1765356025124,,,,T2512101410319177481257,681375959054,Goa-PO251208358,Goa-PO251208358,2840308681-PR61A61,2840308681-PR61A61,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 02:10:34 PM,11-12-2025,AXNPN34554189917,17.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765307552196,PN251208498-MI1765307552196,,,,T2512100043103812378733,453242385264,Goa-PN251208498,Goa-PN251208498,2840852569-113A114,2840852569-113A114,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 12:43:39 AM,11-12-2025,AXNPN34554189917,390.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765335062583,PS251209514-MI1765335062583,,,,T2512100821156721850960,115398395503,Goa-PS251209514,Goa-PS251209514,2840305130-Y12,2840305130-Y12,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 08:21:15 AM,11-12-2025,AXNPN34554189917,20.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765356452246,MA251210399-MI1765356452246,,,,T2512101417407915128732,534496061229,Goa-MA251210399,Goa-MA251210399,2840308364-MBEV117A117,2840308364-MBEV117A117,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 02:17:40 PM,11-12-2025,AXNPN34554189917,35.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765340756991,MA251209439-MI1765340756991,,,,T2512100956121752995225,115402100340,Goa-MA251209439,Goa-MA251209439,2840854678-MBEV84A84,2840854678-MBEV84A84,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 09:56:12 AM,11-12-2025,AXNPN34554189917,25.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765365439169,PO251210235-MI1765365439169,,,,T2512101647301011771872,571046304845,Goa-PO251210235,Goa-PO251210235,2840308671-PRV37A37,2840308671-PRV37A37,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 04:47:30 PM,11-12-2025,AXNPN34554189917,20.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765341351780,VS251209253-MI1765341351780,,,,T2512101006017962834761,671431739310,Goa-VS251209253,Goa-VS251209253,2840304442-VSDEV39A,2840304442-VSDEV39A,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 10:06:06 AM,11-12-2025,AXNPN34554189917,48.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765374728425,MA251210388-MI1765374728425,,,,T2512101922456090917472,534492578076,Goa-MA251210388,Goa-MA251210388,2840308165-MBEV40A40,2840308165-MBEV40A40,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 07:22:45 PM,11-12-2025,AXNPN34554189917,25.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765377712610,VS251210343-MI1765377712610,,,,T2512102012068349123545,115437634480,Goa-VS251210343,Goa-VS251210343,2840303410-VSD23A23,2840303410-VSD23A23,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 08:12:06 PM,11-12-2025,AXNPN34554189917,51.0,0.0,0.0,0.0,0.0
PAYMENT,TX1765351822371,MA251209430-MI1765351822371,,,,T2512101300519911164688,534412321814,Goa-MA251209430,Goa-MA251209430,2840304453-MB57A57,2840304453-MB57A57,PhonePe Private Limited,UPI_FULFILMENT,10-12-2025,10-12-2025 01:00:52 PM,11-12-2025,AXNPN34554189917,28.0,0.0,0.0,0.0,0.0
